ime,datum 
Sabine Braun,19.06.1965
Tarik Langat Akdag,16.06.1988
Bimala Ranamagar,02.07.1971
Josephine Nnkiruka Onyia,15.07.1986
Gerard Le Lievre,13.11.1949
Carmine Di Giorgi,30.11.1909
Lidiane Lopes,01.09.1994
Ilona Gusenbauer,16.09.1947
John Davies 1,25.05.1938
Bruce Emery Bickford,12.03.1957
Anastasia Kelesidou,28.11.1972
Lynn Williams 1,11.07.1960
John Guiney,
Stanislaw Jaskulka,25.08.1958
Yongli Wei,11.10.1991
Florence Petry Amiel,29.09.1942
Gustav Ostling,17.12.1914
Taavi Peetre,05.07.1983
Volha Krautsova,07.02.1981
Michele Freeman,05.05.1969
Frank Cuhel,23.09.1904
Myong Seun Lee,14.08.1979
Munyo Solomon Mutai,22.10.1992
Mikk Pahapill,18.07.1983
Pavel Szikora,26.03.1952
Mohamed Issangar,30.11.1963
Griselda Gonzalez 1,04.12.1965
Richard Charles Wohlhuter,23.12.1948
Zoltan Vamos,27.01.1936
Josef Eberle,01.01.1901
Ekaterina Poplavskaya,07.05.1987
Ababel Yeshaneh,22.07.1991
Wilson Kipsang Kiprotich,15.03.1982
William Nankeville,24.03.1925
Rosemarie Witschas Ackermann,04.04.1952
Viktor Tsybulenko,13.07.1930
Serge Ferreira,11.08.1959
Abdellah Falil,01.01.1976
Arsene Piesset,30.11.1920
Yafei Chu,05.09.1988
Qiang Qin,18.04.1983
Abdi Bile,28.12.1962
Joy Nakhumicha Sakari,06.06.1986
John Stephen Akhwari,
Artur Partyka,25.07.1969
Vincent Zouaoui Dandrieux,12.10.1980
Jean Wadoux,29.01.1942
Sonja Krolik,24.02.1973
Stig Pettersson,26.03.1935
Abreham Cherkos,23.09.1989
Mohala Mohlolo,12.11.1961
Evgeni Anikin,13.03.1958
Ian Morris,30.11.1961
Carlos Tarazona,14.08.1966
Philippe Deroche,11.09.1954
Norwood Penrose Hallowell,02.11.1909
Mingcai Li,22.08.1971
Mireille Derebona Ngaisset,19.05.1990
Hazel Ann Regis,01.02.1981
Dinh Cong Nguyen,10.04.1982
Georg Aberg,20.01.1893
Hermon Edgar Phillips,02.08.1904
Tetyana Gamera Shmyrko,01.06.1983
Armando Zambaldo,23.10.1943
Meselech Melkamu,27.04.1985
Rigoberto Mendoza Perez,04.01.1946
Martin Adouna,31.12.1943
Alice Coachman,09.11.1923
Tom Compernolle,13.11.1975
Urszula Piwnicka,06.12.1983
Peter Rono,31.07.1967
Ismail Ahmed Ismail,10.09.1984
Laura Ikauniece Admidina,31.05.1992
Courtney Frerichs,18.01.1993
Trevor S A Hayener,17.11.1929
Wanner Miller,22.07.1987
Margarita Tapia,16.11.1976
Mehar Chand Dhawan,
Michelle Carter,12.10.1985
Stefano Natale,16.04.1903
Yoon Chil Choi,19.07.1928
Galina Mityaeva,29.04.1991
Margaret Crowley,24.05.1967
August Desch,12.12.1898
Shuo Cao,08.10.1991
Kristi Castlin,07.07.1988
Nagihan Karadere,01.01.1984
Henry Klein,17.09.1952
Mohamed Ben Lazhar,30.11.1936
Paula Radcliffe,17.12.1973
Stefano Mei,03.02.1963
Rita Pfister,20.03.1952
Robert Hyatt Clark,28.01.1913
Muhiddin Mohamed Kulmiye,30.11.1957
David Hall,01.05.1875
Daniel O Connor,29.03.1952
Michael Shelley,10.10.1983
Shijie Qieyang,11.11.1990
Juan Martinez 1,01.01.1947
Nikita Filippov,07.10.1991
Constantin Radu,13.02.1912
Simo Sakari Saloranta,12.12.1934
Evaggelia Xinou,22.11.1981
Pierre Eugene Legrain,18.02.1920
Abel Anton Rodrigo,24.10.1962
Chota Singh,
Pablo Pietrobelli,14.06.1980
Julius Ferdinand Jorgensen,20.06.1880
Gang Han,10.11.1978
Matti Sutinen,31.01.1931
Reyes Estevez,02.08.1976
Ute Hommola,20.01.1952
Anita Wlodarczyk,08.08.1985
Tim Vollmer,13.09.1946
Carlos Bianchi Lutti,19.12.1910
Carolina Anna Gisolf,13.07.1910
Yanxi Li,26.06.1983
Olga Turchak 1,05.03.1967
Lee Barnes,16.07.1906
Mpesela Ntlot Soeu,17.01.1977
Hermann Tunner,17.05.1913
Dariusz Ludwig,25.02.1955
Assunta Legnante,14.05.1978
Daisuke Ikeshima,30.01.1975
Alfredo Penaloza,31.05.1947
Alvin Kraenzlein,12.12.1876
Toni Hodgkinson,12.12.1971
Lebogang Shange,01.08.1990
Peter Renner,27.10.1959
Kim Gevaert,05.08.1978
James Alexander Burns,05.11.1907
Arthur Roth,
Albert Webster,25.05.1925
Gennadi Agapov,05.12.1933
Yong Kee Choi,19.12.1925
Henry Petersen,01.10.1900
S Gurnam Singh,
Walter Beavers,30.11.1902
Julius Yego,04.01.1989
Silvia Cruz,29.12.1980
Luigi Beccali,19.11.1907
Bernhard Nermerich,11.03.1939
Patrick Fahy,
Sergey Morgunov,09.02.1993
Jehue Gordon,15.12.1991
Richard Mabuza,03.03.1946
Wilfriede Hoffmann,27.11.1932
Maya Azarashvili,06.04.1964
Hans Liesche,11.10.1891
Audrey Williamson,28.09.1926
Brian Sell,11.04.1978
Loren Murchison,17.12.1898
Meskerem Assefa,20.09.1985
Isa Phillips,22.04.1984
Shizuo Mochizuki,30.11.1908
Monika Zehrt,29.09.1952
Gladys Erbetta,15.11.1928
Ingmar Vos,28.05.1986
Maria Laura Almirao,20.09.1977
Ana Dulce Felix,23.10.1982
Guillaume Leblanc,14.04.1962
Wolfram Gambke,02.11.1959
Hannes Sonck,25.08.1919
Odette Mistoul,22.02.1959
Monika Bejnar,10.03.1981
Tomomi Tanaka,25.01.1988
Lisa Sheridan Paolini,10.12.1962
Ralf Bartels,21.02.1978
Wendell Mottley,02.07.1941
Jeong Mi Ji,04.03.1963
Ingeborg Inge Bausenwein Plank,13.10.1920
Maram Sudarmodjo,25.01.1928
Elisangela Adriano,27.07.1972
Rehaset Mehari,05.03.1989
Eun Joo Lim,05.03.1961
Hafida Gadi,14.07.1974
Tamara Press,10.05.1937
Bamab Napo,23.05.1984
Paul Irvin Herman,07.03.1941
Khadevis Robinson,19.07.1976
Mikhail Shchennikov 1,24.12.1967
John Mattsson,
Nicolas Cuestas,08.12.1986
Ioannis Theodoropoulos,
Shamar Sands,30.04.1985
Arsen Sargsyan,13.12.1984
Kathrin Klaas,06.02.1984
Thomas Joseph Hughes,08.01.1960
George Bernard Rex Whitlock,08.09.1910
Tatiana Kazankina,17.12.1951
Masami Yoshida 1,14.06.1958
Akela Jones 1,22.04.1995
Cidalio Caetano,22.01.1952
Robert Morton Newburgh Tisdall,16.05.1907
Charles Dumas,12.02.1937
Megerdik Megherian,09.12.1892
Eddy Riva,17.04.1973
Sten Pettersson,11.09.1902
Kamel Kohil,25.12.1971
Chirine Njeim,04.10.1984
Tamara Pangelova,22.08.1943
James Ellington,06.09.1985
Duncan Mcleod Wright,22.09.1896
Hanna Demydova,08.04.1987
Abel Kiprop Mutai,02.10.1988
Pierluigi Gatti,29.03.1938
Molly Huddle,31.08.1984
Sonia Samuels,16.05.1979
Lars Olof Hook,01.03.1945
Marco Verni,27.02.1976
Robert Kajuga,01.01.1985
Susana Feitor,28.01.1975
Edera Cordiale Gentile,30.01.1920
Denise Lewis,27.08.1972
Silke Spiegelburg,17.03.1986
Egle Staisiunaite,30.09.1988
Sergey Kirdyapkin,18.06.1980
Henry Rebello,17.11.1928
Salina Kosgei,16.11.1976
Igor Duginets,20.05.1956
Claudio Bertolino,31.03.1963
Alfredo Pagani,06.09.1887
Stepan Wagner,05.10.1981
Jesus Espana,21.08.1978
Odon Karpati,02.01.1892
C J Hunter,14.12.1968
Stiliani Tsikouna,19.10.1972
Olga Kuzenkova,04.10.1970
George Warren Philbrook,10.10.1886
Traugott Glockler,12.01.1944
Harold Houghton,30.11.1900
Werner Bottcher,04.09.1909
Luis Velasquez,30.12.1919
Saida Gunba,30.08.1959
Jennifer Ann Smart,19.02.1943
Richmond Landon,20.11.1898
Ake Nilsson 1,29.04.1945
Vladimir Sukharyev,10.07.1924
Elvan Abeylegesse,11.09.1982
Yerko Araya,14.02.1986
Donald Baird,29.05.1951
Steve Ovett,09.10.1955
Justin Gloden,22.03.1953
Fritz Bleiweiss,27.11.1911
Hayat Lambarki,18.05.1988
Mitchell Kealey,28.01.1984
Vassilka Stoeva,14.01.1940
Leford Green,14.11.1986
Tatiana Dektyareva,08.05.1981
Hayes Jones,04.08.1938
Irina Tyukhay,14.01.1967
Andrew Riley,06.09.1988
Kara Goucher,09.07.1978
Horacio Nava,20.01.1982
Azzeddine Brahmi,13.09.1966
Arthur Burn,
Rakia Al Gassra,06.09.1982
Jorn Lauenborg,14.09.1944
Despina Zapounidou,05.10.1985
Pavel Kantorek,08.02.1930
Mario Pestano,08.04.1978
Luvo Manyonga,08.01.1991
Veikko Nyqvist,09.08.1916
Thomas Theodore Bruce,28.07.1923
Jinhyeok Jeong,01.06.1990
Beauty Nazmun Nahar,01.01.1984
Jacinto Sabinal,12.08.1942
Alfredo Jadresic Vargas,18.09.1925
Ercument Olgundeniz,07.07.1976
Pawel Fajdek,04.06.1989
Odile Lesage,28.06.1969
Hye Song Kim 1,09.03.1993
Sara Aerts,25.01.1984
John Furla,
Inga Juodeskiene,21.10.1971
Cyril H Coaffee,14.02.1897
Clarisse Rasoarizay,27.09.1971
Thomas Curtis,09.01.1873
Gert Weil,03.01.1960
Ali Mohamed Al Zinkawi,27.02.1984
Davis Bell,25.07.1929
Natallia Mikhnevich,25.05.1982
Malte Mohr,24.07.1986
Ketil Askildt,24.11.1900
Hanna Mazgunova,04.06.1985
William Holland,03.03.1874
Max Klauss,27.07.1947
Tom Bosworth,17.01.1990
Anne Iversen,12.08.1923
Juan Xue,10.02.1986
Jacqueline Hautenauve,11.07.1962
Matej Toth,10.02.1983
Johanna Schaller Klier,13.09.1952
Thierry Vigneron,09.03.1960
Ellen Fiedler,26.11.1958
Justine Bayigga,15.01.1979
Liliana Panayotova,17.03.1956
Armin Scheurer,24.12.1917
Johan Wissman,02.11.1982
Maria Peralta,30.11.1977
Zoya Ivanova,14.03.1952
Maxwell Lander Parks,09.07.1951
Fausto Quinde,13.02.1976
Kari Steinn Karlsson,19.05.1986
Marsha Mark Baird,20.01.1974
Valerie Young,10.08.1937
Moussa Dembele 1,30.10.1988
Vladimir Penc,10.09.1893
Pierre Cousin,14.06.1913
Zaneta Glanc,11.03.1983
George Phineas Guthrie,13.04.1904
Maho Hanaoka,03.08.1976
Daniel Plaza,03.07.1966
Lucien Faber,29.03.1952
Tamsyn Manou,20.07.1978
Gwen Torrence,12.06.1965
Akihiko Nakamura,23.10.1990
Yevgeni Vansovich,30.11.1929
Peggy Beer,15.09.1969
Elena Svejentseva,20.12.1968
Winthrop Graham,17.11.1965
Aniela Nikiel,01.11.1965
Denise Hinrichs,07.06.1987
Frederick Vaughn Newhouse,08.11.1948
Valeria Bufanu,07.10.1946
Isabella Ochichi,28.10.1979
Mayumi Kawasaki 1,10.05.1980
Antje Gleichfeld,31.03.1938
Otto Nilsson,26.09.1879
Luis Henry Campos,11.10.1995
Olga Cristea,13.12.1987
Juan Van Deventer,26.03.1983
Ann Marise Chamberlain,05.12.1935
Yeongeun Jeon,24.05.1988
Nelkis Casabona,12.05.1984
Arabelly Orjuela,24.07.1988
Tsegai Tewelde,08.12.1989
Kip Janvrin,08.07.1965
Mamo Wolde,12.06.1932
Robert Finlay,03.08.1943
Vanessa Chefer,05.03.1990
Peter Wells,23.05.1929
Calvin Smith 1,08.01.1961
Hiwot Ayalew,06.03.1990
Christian Olsson,25.01.1980
John Merriman,27.06.1936
Ivan Zaytsev,07.11.1988
Quentin David Wheeler,27.04.1955
Carl Myerscough,21.10.1979
Lyudmila Kondratyeva,11.04.1958
Cornelis Koch,16.07.1936
Corrado Fantini,07.02.1967
David Edge,12.11.1954
Sevatheda Fynes,17.10.1974
Svetlana Radzivil,17.01.1987
Wen Cheng,06.04.1989
Monder Rizki,16.08.1979
Tatyana Shikolenko,10.05.1968
Hagen Melzer,16.06.1959
Agne Holmstrom,29.12.1893
Harry Porter,31.08.1882
Daniel Dabrowski,23.09.1983
Madeline Manning Jackson,11.02.1948
Zinaida Sendriute,20.12.1984
Harry De Keizer,
Michael Lyle Shine,19.09.1953
Craig Ward Mclanahan,15.01.1883
Jaroslav Plihal,30.06.1936
Victor Mac Auley,01.01.1889
Alain Lemercier,11.01.1957
Holder Da Silva,12.01.1988
Harold Whitlock,16.12.1903
Vladimir Savanovic,12.06.1985
Shermaine Williams,04.02.1990
Deena Kastor,14.02.1973
James Ellis Lu Valle,10.11.1912
Namjilmaa Dashzeveg,25.05.1944
A Jorge Nunez,
Eri Yamaguchi,14.01.1973
William Franklin Weigle,25.05.1940
Isaiah Msibi,15.02.1984
Helmut Baumann,23.01.1940
Gable Garenamotse,28.02.1977
Dorian Scott,02.01.1982
Andrea Bruce,10.07.1954
Ingrid Thyssen,09.01.1956
Esref Apak,03.01.1982
Vincent Kiplangat Kosgei,11.11.1985
Stephanie Graf,26.04.1973
Michel Macquet,03.04.1932
Barbara Inkpen,28.10.1949
Jack Rosendaal,12.09.1973
Brittney Reese,09.09.1986
Alberto Juantorena,03.12.1950
Kym Carter,12.03.1964
Tatiana Aryasova,02.04.1979
Gerd Wessig,16.07.1959
Semoy Hackett,27.11.1988
Annegret Richter Irrgang,13.10.1952
Claudia Zaczkiewicz,04.07.1962
Janay Deloach,12.10.1985
Luiz Dos Santos,06.04.1964
Robert B Weir,04.02.1961
Michael Bull,11.09.1946
Josef Sulc,12.09.1907
Mark Conover,28.03.1960
Samira Raif,04.04.1974
Kerstin Pressler,02.02.1962
Minori Hayakari,29.11.1972
Manfred Steffny,14.08.1941
Robert Mackowiak,13.05.1970
Barakat Mubarak Al Harthi,15.06.1988
Kurao Hiroshima,05.12.1928
Leslie Laing,19.02.1924
Charles Mays,03.02.1941
Marie Josee Ta Lou,18.11.1988
Evgeniy Lukyanenko,23.01.1985
Nathan Douglas,04.12.1982
Rena Kremer,27.03.1925
William Fraser Lewis,30.11.1877
Aaron Brown 1,27.05.1992
Adalberts Bubenko,16.01.1910
Charles Wayne Foster,02.07.1953
Halina Konopacka,11.11.1900
Svitlana Stanko Klymenko,13.05.1976
Jarmo Karna,04.08.1958
Eleonora Giorgi,14.09.1989
Lennart Carlsson,30.12.1932
Ben Youssef Meite,11.11.1986
Mauro Bogliatto,24.02.1943
Cornelia Melis,23.02.1960
Megan Metcalfe,27.01.1982
Kurt Bendlin,22.05.1943
Siegrun Siegl,29.10.1954
Joseph Tjitunga,21.07.1971
Milan Spasojevic,15.03.1950
Timothy Toroitich,10.10.1991
Hafida Izem,20.04.1979
Andriy Semenov,04.07.1984
Judy Oakes,14.02.1958
William Preston Miller,22.02.1930
Peter Dickson Pfitzinger,29.08.1957
Ajit Singh,25.11.1936
Clova Court,10.02.1960
Xiaoyan Cheng,30.11.1975
Stephane Caristan,31.05.1964
Nikolai Rumyantsev,31.05.1930
Teodor Ionescu,
Antonio Martins,23.08.1963
Sorin Matei,06.07.1963
Francine Niyonsaba,05.05.1993
Wilfried Wesch,07.07.1940
Altobeli Da Silva,03.12.1990
Priscilla Lopes Schliep,26.08.1982
Muna Lee,30.10.1981
Charles Friedek,26.08.1971
Gita Dodova,02.05.1982
Elias Katz,22.06.1901
Leon M Fourneau,17.03.1900
Eddy Ottoz,03.06.1944
Giuseppe Lippi,15.04.1904
Valentin Massana,05.09.1970
Francisco Sanchez 4,18.05.1958
Ariannis Vichy,18.05.1989
Annerose Krumpholz,05.09.1951
Richard Dennis W Miller,14.02.1920
Cristina Cojocaru,02.01.1962
Gael Pencreach,05.08.1977
Moses Kiptanui,01.10.1970
Irini Kokkinariou,14.02.1981
Miyuki Uehara,22.11.1995
Kimmo Pallonen,17.01.1959
Tom Hansen,25.02.1948
Natalya Lebedeva,24.08.1949
Paulina Buziak,16.12.1986
Maicel Uibo,27.12.1992
Janet Mary Simpson,02.09.1944
Marshevet Hooker,25.09.1984
Sverre Strandli,30.09.1925
John Murillo,13.07.1984
Terence Lloyd Johnson,07.04.1900
Jorge Balliengo,05.01.1978
Arthur Newton,31.01.1883
Alifu Massaquoi,06.04.1937
Tibor Balajcza,24.01.1937
Andrea Deelstra,06.03.1985
Pekka Johannes Paivarinta,04.05.1949
Peimeng Zhang,13.03.1987
Robert De Wit,07.08.1962
Martin Jellinghaus,26.10.1944
John William Allen,15.01.1926
Erika Abril,29.03.1978
Stefany Coronado,16.09.1996
Elizabeth Mongudhi,15.06.1970
Melissa Breen,17.09.1990
Asko Peltoniemi,07.02.1963
Tyson Gay,09.08.1982
Raymond Higgs,24.01.1991
Reino Iisakki Kuivamaki,17.05.1918
Yuka Takashima,12.05.1988
Bjorn Bang Andersen,
Timothy Kitum,20.11.1994
Oleksiy Semenov,27.06.1982
Damjan Sitar,17.08.1981
Aishath Reesha,31.05.1989
Johan Frederik Marie Houtzager,26.08.1910
Mohamed Ameur,01.11.1984
Bo Ekelund,26.07.1894
Gerald Phiri,06.10.1988
Abebe Bikila,07.08.1932
Basil Heatley,25.12.1933
Andra Manson,30.04.1984
Ristananna Tracey,09.05.1992
Maurice Herriott,08.10.1939
Alistair Fergus Murray,11.09.1942
Susan Hobson,13.03.1958
Martti Vainio,30.12.1950
Tatyana Shlyakhto,24.11.1956
Ilya Korotkov,06.12.1983
Peter Korcok,12.08.1974
Valentin Djonev,
Horatio Fitch,06.12.1900
Sosthene Moguenara,17.10.1989
Harri Larva,09.09.1906
Leonard William Richardson,13.07.1882
Lawrence Gerard O Connor,22.09.1916
Sixto Ibanez,
Verner Jarvinen,04.03.1870
Andreas Busse,06.05.1959
Giovanni Tosi,
Miltiadis Gouskos,30.11.1876
Chris Maddocks,28.03.1957
Gideon Mthembu,25.09.1963
Marquise Goodwin,19.11.1990
Bernard Barmasai,06.05.1974
Steve Fritz,01.11.1967
Wesley Vazquez,24.03.1994
Nicholas Kiptanui,18.12.1989
Emil Dragan,27.06.1926
Kang Whan In,07.01.1917
Tesfaye Tola,19.10.1974
Giuliana Spada,18.04.1971
Nasar Sakar Saeed,26.01.1976
Anna Kielbasinska,26.06.1990
Eva Dawes,17.09.1912
Oleksiy Kazanin,22.05.1982
Aaron Dupnai,27.08.1968
Mary O Connor,19.06.1955
Paul Foreman,25.01.1939
Jamy Franco,01.07.1991
Douglas Nordquist,20.12.1958
Stefan Junge,01.09.1950
Girma Tolla,13.10.1975
Michal Bieniek,17.05.1984
Rene Joannes Powell,11.02.1896
Andrzej Chylinski,05.12.1960
Wilson Kipketer,12.12.1972
Peter Kevin Maher,30.03.1960
J Polesc,
Lolesio Tuita,15.08.1943
Balazs Baji,09.06.1989
Gladys M Clarke,15.02.1923
Laura Ikauniece,31.05.1992
Kirill Ikonnikov,05.03.1984
Winsome Cripps,09.02.1931
Jouko Kuha,30.09.1939
Corinna Harrer,19.01.1991
Ilya Markov,19.06.1972
Tore Sjostrand,31.07.1921
Andrei Talashko,31.05.1982
Jessica Smith 1,11.10.1989
George Bailey 1,29.04.1906
Mamadou Barry,19.12.1991
Jose David Dominguez,29.07.1980
Bertland Cameron,16.11.1959
Chunyu Wang,17.01.1995
Melinda Gainsford,01.10.1971
Jeanette Bolden,26.01.1960
Dionisio Castro,22.11.1963
Clement Mabuthile Lebopo,25.12.1975
Atef Saad,20.03.1988
Norman Taber,03.09.1891
Lizzie Lee,22.05.1980
Igor Shcherbak,09.07.1943
Jong Ok Kim,09.04.1970
Vincenzo Modica,02.03.1971
Bahadur Singh,21.01.1949
Alexey Sysoev,08.03.1985
Lawrence Ronald Questad,10.07.1943
Peter Ward,07.12.1913
Arvid Aberg,14.06.1885
Hirooki Arai,18.05.1988
Hatem Ghoula,07.06.1973
Cornelius Johnson,21.08.1913
Olga Tereshkova,26.10.1984
Paula Claudia Todoran,09.06.1985
Carlo Speroni,13.07.1895
Tyler Christopher,03.10.1983
Yves Cros,05.10.1923
Ron Brown,31.03.1961
Alexander Potashev,12.03.1962
Gael Martin,27.08.1956
Bela Bakosi,18.06.1957
Cornel Fredericks,03.03.1990
Hanna Knyazyeva,25.09.1989
Werner Trzmiel,16.03.1942
Olutoyin Augustus,24.12.1979
Hyleas Fountain,14.01.1981
Josef Matousek,07.09.1928
Mason Finley,07.10.1990
Valentyna Myronchuk,10.08.1994
Ana Cabecinha,29.04.1984
Howard Valentine,30.11.1880
Paolo Camossi,06.01.1974
Mergen Mamedov,24.12.1990
Frantisek Zyka,03.03.1902
Fanuel Kenosi,03.05.1988
Nahom Mesfin,03.06.1989
Bela Juhasz,20.04.1921
Liliya Kulyk,27.01.1987
Janos Zemen,29.08.1950
Yelena Gulyayeva,14.08.1967
Pedro Aroche,14.03.1946
Luz Long,27.04.1913
James Kwalia C Kurui,12.06.1984
Lajos Gonczy,24.02.1881
Sabine Sebrowski,28.04.1951
Pamenos Ballantyne,09.12.1973
Sultan Khamis Zaman,23.07.1985
Alexander Decouteau,19.11.1887
Ashton Eaton,21.01.1988
Jukka Keskisalo,27.03.1981
Oleg Juravlyov,17.05.1982
Johann Lindner,03.05.1959
Kazimir Zalar,24.03.1957
Laenly Phoutthavong,04.06.1996
Jiri Chamrad,19.06.1954
Jessica Ennis,28.01.1986
Colin Boreham,26.03.1954
Hans Rudi Kunz,
Cyril Porter,12.01.1890
Ivona Dadic,29.12.1993
Emma Coburn,19.10.1990
Karl Reiniger,09.04.1910
Mikhail Bariban,20.02.1949
Guy Abrahams,07.03.1953
Elena Romagnolo,05.10.1982
Leigh Smith,28.08.1981
Aimo Aho,31.05.1951
Marco Giungi,30.10.1974
Alberto Salazar,07.08.1958
Ali Ahmed Al Amri,29.01.1985
Roberto Carmona Botella,20.10.1943
Valentina Nazarova,29.09.1984
Josleidy Ribalta,02.05.1990
Juan Acosta,16.04.1907
Fantu Magiso,09.06.1992
Tao Wu,03.10.1983
Rune Almen,20.10.1952
Leryn Franco,01.03.1982
Wilfredo Martinez,09.01.1985
Paul Nettlebeck,23.04.1889
Michaella Kargbo,05.07.1991
Julio Urias,11.01.1972
Michael Warren Brodie,17.06.1941
Paul Bitok,26.06.1970
Elphas Sabelo Gimindaza,25.11.1967
Ulrike Meyfarth,04.05.1956
Kestusis Shapka,15.11.1949
Giovanni De Benedictis,08.01.1968
Hjalmar Ohlsson,09.10.1891
Ulla Lundholm,20.01.1957
Arturo Bravo,19.05.1958
Lacey Hearn,03.03.1881
Jani Lehtinen,23.02.1974
Levi Casey,19.10.1902
Nico Motchebon,13.11.1969
Coby Miller,19.10.1976
Vittorio Fontanella,17.03.1953
Mayra Carolina Herrera,20.12.1988
Yun Bok Su,09.01.1923
Paul Martin,11.08.1901
Jan Vermeulen,30.11.1894
Jean Claude Decosse,06.07.1949
Vaclav Vohralik,02.01.1892
Nicolene Cronje,16.06.1983
Moumi Sebergue,07.12.1977
Ronald Musagala,16.12.1992
Zhaobo Dou,23.09.1983
Dan Robinson,13.01.1975
Bertil Uggla,19.08.1890
Eugene Besse,
Witold Gerutto,01.10.1912
Rene Piller,23.04.1965
Marta Mendia,18.05.1975
Dawn Harper,13.05.1984
Ferdinand Bie,16.02.1888
Ignacio Zamudio,15.05.1971
Helmut Krieger,17.07.1958
Mirela Demireva,28.09.1989
Joseph M Lynch,22.04.1878
Simon Wachira,06.05.1984
Michael H Barnett,21.05.1961
Ruben Sanca,13.12.1986
Ville Tuulos,26.03.1895
Tatiana Providokhina,26.03.1953
Gary Fanelli,24.10.1950
Warren Fraser,08.07.1991
Juan Carlos Zabala,11.10.1911
Eduardo Buenavista,13.10.1978
Michael Musyoki,28.05.1956
Francois Lapointe,23.08.1961
Christian Malcolm,03.06.1979
Nabil Madi,09.06.1981
Wei Ji,05.02.1984
Anthony Howard Sneazwell,04.10.1942
Leila Ben Youssef,13.11.1981
Earle Meadows,29.06.1913
Gunnar Pettersson,10.10.1915
Michael Moellenbeck,12.12.1969
Hannes Kolehmainen,09.12.1889
Peter Frenkel,13.05.1939
Raymond Edgar Dodge,04.08.1900
Jakub Vadlejch,10.10.1990
Darko Zivanovic,25.02.1987
Matthias De Zordo,21.02.1988
Yevgeniy Meleshenko,19.01.1981
Ana Maria Groza,01.06.1976
Meisu Li,17.04.1959
A Baser Wasiqi,12.07.1975
Dianne Roberta Gerace,26.10.1943
Kivilcim Kaya,27.03.1992
David Munson,19.05.1884
Wolfgang Hanisch,06.03.1951
Barbara Ferrell,28.07.1947
Raphael Pujazon,18.02.1918
Daniele Caimmi,17.12.1972
Leslie John Perry,29.01.1923
Ruben Ramolefi,17.07.1978
Emad Noor,21.04.1990
Svetlana Feofanova,16.07.1980
Carl Linder,
Yun Bum Kim,10.12.1934
John William Joslin Rinkel,24.03.1905
Ross Murray,08.10.1990
Panagiotis Paraskevopoulos,30.11.1874
Hisatoshi Shintaku,20.12.1957
Nebiat Habtemariam 1,29.12.1978
Elena Belevskaya,11.10.1963
Suryo Agung Wibowo,08.10.1983
Kym Howe,12.06.1980
Maureen Anne Barton Chitty,14.12.1947
Harold Nelson,26.04.1923
Jennifer Rhines,01.07.1974
Manfred Molzberger,27.01.1936
Gheorghe Cseghezi,
Hanna Knyazyeva Minenko,25.09.1989
Serban Ciochina,30.11.1939
Ajay Chuttoo,13.11.1965
Viacheslav Fursov,19.07.1954
Bridget Franek,08.11.1987
Jim Bausch,28.03.1906
Michelle Lee Ahye,10.04.1992
Aziz Zakari,02.09.1976
Tony Jarrett,13.08.1968
David Torrence 1,26.11.1985
Zulema Fuentes Pila,25.05.1977
Joachim Broechner Olsen,31.05.1977
Herman Goffberg,25.06.1921
Mark Everett,02.09.1968
Irmgard Schmelzer Kirchhoff,19.06.1921
Ezequiel Canario,10.04.1960
Shonel Ferguson,06.11.1957
Fredy Hernandez,25.04.1978
Denis Nizhegorodov,26.07.1980
Pascal Charriere,14.11.1964
Harry Lawson,30.11.1887
Jarmila Klimesova,09.02.1981
Antonio Pereira Lyra,13.11.1909
Asli Cakir Alptekin,20.08.1985
Mara Yamauchi,13.08.1973
Peter Buniak,10.01.1945
Pauls Pujats,06.08.1991
Beverly Mcdonald,15.02.1970
Khan Haider,30.11.1932
Evgeni Evsiukov,02.01.1950
Ingeborg Mello,04.01.1922
Jerome Clavier,04.05.1983
Ralf Drecoll,29.09.1944
Sergey Lobastov,30.11.1925
Vida Anim,07.12.1983
Mohamed El Hachimi,05.09.1980
W F Van Der Steen,
Jorg Drehmel,03.05.1945
Brandon Starc,24.11.1993
Luciano Zerbini,16.02.1960
Veniamin Soldatenko,04.01.1939
Kevin Mayer,10.02.1992
Alton Roy Welton,30.11.1885
Caitriona Jennings,17.06.1980
Elmer Niklander,19.01.1890
Thomas Forcer Lalande,31.12.1904
Boguslaw Bialek,
Seung Do Baek,16.06.1968
Evangelos Gerakaris,
Nelson Prudencio,04.04.1944
Galina Chistyakova,26.07.1962
Ruth Osburn,24.04.1912
Malgorzata Rydz,18.01.1967
Pleun Van Leenen,30.11.1900
Wladyslaw Kozakiewicz,08.12.1953
Jefferson Taft Bennett,29.08.1948
Ana Po Uhila,18.10.1979
Frank E Wendling,01.01.1897
Hrysopiyi Devetzi,02.01.1975
Emerson Norton,16.11.1900
Mouhssin Chehibi,28.01.1978
Pavol Blazek,09.07.1958
Kayode Elegbede,19.09.1955
Steven Lewis,20.05.1986
Bong Sil Ham,24.07.1974
Laura Weightman,01.07.1991
Francis Manioru,17.09.1981
Vyacheslav Alanov,30.10.1939
Geza Fejer,20.04.1945
Billy Mills,30.06.1938
Jian Tan,20.01.1988
Ralph Hill,26.12.1908
Halland Britton,18.02.1890
Ronald Lloyd Zinn,10.05.1939
Ian Frank Fairbairn Crawford,20.12.1884
Peter Carlton Shmock,29.04.1950
Johnny J Kelley,24.12.1930
Birgit Stephan,
